2023-03-29 09:57:34,739  INFO [main] - Start cleanup annotation of documents ...
2023-03-29 09:57:47,282  INFO [main] - Total 1 annotation(s) removed from document 99939254, {50A71B86-0200-C23E-BCCF-A421A99D77A1}
2023-03-29 09:57:47,339  INFO [main] - Total 1 annotation(s) removed from document 99939254, {05F4F3B6-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:47,378  INFO [main] - Total 2 annotation(s) removed from document 100238910, {707F1C86-0000-CE8F-A234-A0CBD750D5EE}
2023-03-29 09:57:47,559  INFO [main] - Total 2 annotation(s) removed from document 100238910, {05F9863E-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:47,694  INFO [main] - Total 4 annotation(s) removed from document 100258836, {50941C86-0000-C058-9E1D-F5642B7B50D8}
2023-03-29 09:57:47,774  INFO [main] - Total 4 annotation(s) removed from document 100258836, {05F9D414-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:47,912  INFO [main] - Total 7 annotation(s) removed from document 100421715, {B0CA2486-0500-C898-9BFA-7DC6A8001B71}
2023-03-29 09:57:48,206  INFO [main] - Total 7 annotation(s) removed from document 100421715, {05FC5053-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:48,279  INFO [main] - Total 4 annotation(s) removed from document 100421718, {B0CA2486-0800-C213-8210-53F4B58DF732}
2023-03-29 09:57:48,385  INFO [main] - Total 4 annotation(s) removed from document 100421718, {05FC5056-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:48,415  INFO [main] - Total 1 annotation(s) removed from document 100438629, {50D72486-0700-CC75-9985-2F32DD789477}
2023-03-29 09:57:48,450  INFO [main] - Total 1 annotation(s) removed from document 100438629, {05FC9265-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:48,506  INFO [main] - Total 2 annotation(s) removed from document 100454322, {E0E32486-0300-CC04-ADA0-AD745FBC0F9C}
2023-03-29 09:57:48,562  INFO [main] - Total 2 annotation(s) removed from document 100454322, {05FCCFB2-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:48,586  INFO [main] - Total 1 annotation(s) removed from document 100454326, {E0E32486-0400-C91F-ADC5-BBBC0D91AD13}
2023-03-29 09:57:48,615  INFO [main] - Total 1 annotation(s) removed from document 100454326, {05FCCFB6-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:48,692  INFO [main] - Total 5 annotation(s) removed from document 101196987, {20EA2486-0B00-CE63-B86A-641ADC894893}
2023-03-29 09:57:48,793  INFO [main] - Total 5 annotation(s) removed from document 101196987, {060824BB-70E6-568C-8F03-D6547421C277}
2023-03-29 09:57:48,837  INFO [main] - Total 2 annotation(s) removed from document 101922418, {C07E1586-0300-C1A0-A47E-8C0F390DA7B9}
